Reporting Month,Timestamp,What is the name of your school?,What is your school's synthetic school code?,What is the name of your district?,Block Details,Was the PBL project conducted in your school this month?,Was evidence submitted for the completed PBL project?,In which class/classes did you conduct the PBL project?,Which subject do you teach?,"Total number of students enrolled in Class 6, including all sections","Average student attendance during the Class 6 PBL Science session. If you did not teach Science in Class 6, enter 0.","Average student attendance during the Class 6 PBL Math session. If you did not teach Math in Class 6, enter 0.","Total number of students enrolled in Class 7, including all sections","Average student attendance during the Class 7 PBL Science session. If you did not teach Science in Class 7, enter 0.","Average student attendance during the Class 7 PBL Math session. If you did not teach Math in Class 7, enter 0.","Total number of students enrolled in Class 8, including all sections","Average student attendance during the Class 8 PBL Science session. If you did not teach Science in Class 8, enter 0.","Average student attendance during the Class 8 PBL Math session. If you did not teach Math in Class 8, enter 0.",Derived: Total enrollment across Classes 6-8,Derived: Total attendance across PBL Science and Math sessions,Derived: Overall PBL attendance rate,Derived: Risk status
2025-07,2025-07-12 03:40:00,School ACFD,SYN-1486-ACFD,District G,District G - Block 002,Yes,Yes,Class 6,Math,11,5,10,13,8,10,8,5,5,32,43,0.6719,Behind
2025-07,2025-07-12 03:57:00,School ACFE,SYN-1487-ACFE,District G,District G - Block 002,Yes,Yes,"Classes 6, 7 and 8",Science,24,17,13,12,6,5,28,18,14,64,73,0.5703,At Risk
2025-07,2025-07-12 04:14:00,School ACFF,SYN-1488-ACFF,District G,District G - Block 002,Yes,Yes,"Classes 6, 7 and 8",Science,11,8,7,13,10,9,10,10,8,34,52,0.7647,On Track
2025-07,2025-07-12 04:31:00,School ACFG,SYN-1489-ACFG,District G,District G - Block 002,Yes,No,"Classes 6, 7 and 8",Math and Science,36,19,17,39,22,22,30,16,16,105,112,0.5333,At Risk
2025-07,2025-07-12 04:48:00,School ACFH,SYN-1490-ACFH,District G,District G - Block 002,Yes,Yes,Class 6,Math and Science,24,16,15,18,13,12,23,15,14,65,85,0.6538,Behind
2025-07,2025-07-12 05:05:00,School ACFI,SYN-1491-ACFI,District G,District G - Block 002,Yes,No,Class 6,Science,29,24,19,11,6,6,19,9,11,59,75,0.6356,Behind
2025-07,2025-07-12 05:22:00,School ACFJ,SYN-1492-ACFJ,District G,District G - Block 002,Yes,No,"Classes 6, 7 and 8",Math and Science,36,17,20,35,21,21,21,11,14,92,104,0.5652,At Risk
2025-07,2025-07-12 05:39:00,School ACFK,SYN-1493-ACFK,District G,District G - Block 002,Yes,No,"Classes 6, 7 and 8",Science,45,44,37,32,27,17,30,28,14,107,167,0.7804,On Track
2025-07,2025-07-12 05:56:00,School ACFL,SYN-1494-ACFL,District G,District G - Block 002,Yes,No,"Classes 6, 7 and 8",Science,9,7,4,7,6,4,15,10,9,31,40,0.6452,Behind
2025-07,2025-07-12 06:13:00,School ACFM,SYN-1495-ACFM,District G,District G - Block 002,Yes,No,Class 6,Science,32,23,19,26,11,12,19,13,11,77,89,0.5779,At Risk
2025-07,2025-07-12 06:30:00,School ACFN,SYN-1496-ACFN,District G,District G - Block 002,Yes,No,"Classes 6, 7 and 8",Science,73,48,43,69,43,34,61,34,35,203,237,0.5837,At Risk
2025-07,2025-07-12 06:47:00,School ACFO,SYN-1497-ACFO,District G,District G - Block 002,No,No,Not conducted,Not applicable,113,0,0,87,0,0,89,0,0,289,0,0.0,Critical
2025-07,2025-07-12 07:04:00,School ACFP,SYN-1498-ACFP,District G,District G - Block 002,Yes,Yes,"Classes 6, 7 and 8",Math and Science,68,38,35,74,35,34,60,33,40,202,215,0.5322,At Risk
2025-07,2025-07-12 07:21:00,School ACFQ,SYN-1499-ACFQ,District G,District G - Block 002,Yes,Yes,"Classes 6, 7 and 8",Math and Science,36,22,23,36,23,19,31,14,20,103,121,0.5874,At Risk
2025-07,2025-07-12 07:38:00,School ACFR,SYN-1500-ACFR,District G,District G - Block 002,Yes,No,Class 7,Math and Science,66,39,40,94,54,53,66,42,36,226,264,0.5841,At Risk
2025-07,2025-07-12 07:55:00,School ACFS,SYN-1501-ACFS,District G,District G - Block 002,Yes,No,"Classes 6, 7 and 8",Science,34,22,18,36,25,19,48,38,29,118,151,0.6398,Behind
2025-07,2025-07-12 08:12:00,School ACFT,SYN-1502-ACFT,District G,District G - Block 002,Yes,Yes,"Classes 6, 7 and 8",Math,35,15,20,52,24,25,22,12,12,109,108,0.4954,At Risk
2025-07,2025-07-12 08:29:00,School ACFU,SYN-1503-ACFU,District G,District G - Block 002,Yes,Yes,"Classes 6, 7 and 8",Science,26,12,1,30,2,17,22,10,1,78,43,0.2756,Critical
2025-07,2025-07-12 08:46:00,School ACFV,SYN-1504-ACFV,District G,District G - Block 002,No,No,Not conducted,Not applicable,180,0,0,182,0,0,180,0,0,542,0,0.0,Critical
2025-07,2025-07-12 09:03:00,School ACFW,SYN-1505-ACFW,District G,District G - Block 002,Yes,Yes,"Classes 6, 7 and 8",Science,37,26,24,45,25,23,34,22,21,116,141,0.6078,Behind
2025-07,2025-07-12 09:20:00,School ACFX,SYN-1506-ACFX,District G,District G - Block 002,Yes,No,"Classes 6, 7 and 8",Science,75,52,37,80,61,51,86,57,43,241,301,0.6245,Behind
2025-07,2025-07-12 09:37:00,School ACFY,SYN-1507-ACFY,District G,District G - Block 002,Yes,Yes,Class 7,Science,76,50,29,62,32,34,76,46,33,214,224,0.5234,At Risk
2025-07,2025-07-12 09:54:00,School ACFZ,SYN-1508-ACFZ,District G,District G - Block 002,Yes,Yes,Classes 6 and 7,Math and Science,54,33,52,50,35,44,60,38,39,164,241,0.7348,Behind
2025-07,2025-07-12 10:11:00,School ACGA,SYN-1509-ACGA,District G,District G - Block 002,Yes,No,Classes 7 and 8,Science,16,7,16,14,14,14,15,15,15,45,81,0.9,On Track
2025-07,2025-07-12 10:28:00,School ACGB,SYN-1510-ACGB,District G,District G - Block 003,Yes,Yes,"Classes 6, 7 and 8",Math and Science,46,35,34,63,43,41,69,52,55,178,260,0.7303,Behind
2025-07,2025-07-12 10:45:00,School ACGC,SYN-1511-ACGC,District G,District G - Block 003,Yes,Yes,"Classes 6, 7 and 8",Math and Science,20,13,13,25,16,18,16,11,10,61,81,0.6639,Behind
2025-07,2025-07-12 11:02:00,School ACGD,SYN-1512-ACGD,District G,District G - Block 003,Yes,Yes,"Classes 6, 7 and 8",Math and Science,10,7,5,8,6,7,8,6,6,26,37,0.7115,Behind
2025-07,2025-07-12 11:19:00,School ACGE,SYN-1513-ACGE,District G,District G - Block 003,Yes,No,"Classes 6, 7 and 8",Math and Science,74,43,47,83,59,58,78,62,65,235,334,0.7106,Behind
2025-07,2025-07-12 11:36:00,School ACGF,SYN-1514-ACGF,District G,District G - Block 003,No,No,Not conducted,Not applicable,42,0,0,48,0,0,33,0,0,123,0,0.0,Critical
2025-07,2025-07-12 11:53:00,School ACGG,SYN-1515-ACGG,District G,District G - Block 003,No,No,Not conducted,Not applicable,81,0,0,73,0,0,77,0,0,231,0,0.0,Critical
2025-07,2025-07-12 12:10:00,School ACGH,SYN-1516-ACGH,District G,District G - Block 003,Yes,No,Class 6,Math,70,37,39,71,35,39,40,22,20,181,192,0.5304,At Risk
2025-07,2025-07-12 12:27:00,School ACGI,SYN-1517-ACGI,District G,District G - Block 003,Yes,Yes,"Classes 6, 7 and 8",Math and Science,54,38,46,45,35,37,36,28,28,135,212,0.7852,On Track
2025-07,2025-07-12 12:44:00,School ACGJ,SYN-1518-ACGJ,District G,District G - Block 003,Yes,Yes,Class 6,Math and Science,103,51,56,230,161,92,206,171,125,539,656,0.6085,Behind
2025-07,2025-07-12 13:01:00,School ACGK,SYN-1519-ACGK,District G,District G - Block 003,Yes,Yes,Class 6,Math and Science,39,20,22,44,26,25,26,14,16,109,123,0.5642,At Risk
2025-07,2025-07-12 13:18:00,School ACGL,SYN-1520-ACGL,District G,District G - Block 003,No,No,Not conducted,Not applicable,28,0,0,40,0,0,33,0,0,101,0,0.0,Critical
2025-07,2025-07-12 13:35:00,School ACGM,SYN-1521-ACGM,District G,District G - Block 003,Yes,Yes,"Classes 6, 7 and 8",Math and Science,84,71,66,119,87,72,91,64,70,294,430,0.7313,Behind
2025-07,2025-07-12 13:52:00,School ACGN,SYN-1522-ACGN,District G,District G - Block 003,Yes,No,Class 6,Math and Science,68,45,47,85,58,54,75,56,53,228,313,0.6864,Behind
2025-07,2025-07-12 14:09:00,School ACGO,SYN-1523-ACGO,District G,District G - Block 004,Yes,No,"Classes 6, 7 and 8",Math and Science,98,49,47,97,38,49,35,34,34,230,251,0.5457,At Risk
2025-07,2025-07-12 14:26:00,School ACGP,SYN-1524-ACGP,District G,District G - Block 004,Yes,No,Class 6,Science,43,20,18,65,28,39,60,29,36,168,170,0.506,At Risk
2025-07,2025-07-12 14:43:00,School ACGQ,SYN-1525-ACGQ,District G,District G - Block 004,Yes,Yes,"Classes 6, 7 and 8",Math and Science,35,25,24,45,35,30,36,34,34,116,182,0.7845,On Track
2025-07,2025-07-12 15:00:00,School ACGR,SYN-1526-ACGR,District G,District G - Block 004,Yes,No,"Classes 6, 7 and 8",Math and Science,40,20,21,25,14,14,17,8,7,82,84,0.5122,At Risk
2025-07,2025-07-12 15:17:00,School ACGS,SYN-1527-ACGS,District G,District G - Block 004,No,No,Not conducted,Not applicable,128,0,0,112,0,0,88,0,0,328,0,0.0,Critical
2025-07,2025-07-12 15:34:00,School ACGT,SYN-1528-ACGT,District G,District G - Block 004,Yes,Yes,Class 6,Math and Science,138,72,71,189,92,97,145,85,89,472,506,0.536,At Risk
2025-07,2025-07-12 15:51:00,School ACGU,SYN-1529-ACGU,District G,District G - Block 004,No,No,Not conducted,Not applicable,43,0,0,65,0,0,40,0,0,148,0,0.0,Critical
2025-07,2025-07-12 16:08:00,School ACGV,SYN-1530-ACGV,District G,District G - Block 004,Yes,Yes,"Classes 6, 7 and 8",Math and Science,44,31,30,37,27,24,44,29,34,125,175,0.7,Behind
2025-07,2025-07-12 16:25:00,School ACGW,SYN-1531-ACGW,District G,District G - Block 004,Yes,Yes,"Classes 6, 7 and 8",Math and Science,35,27,25,27,19,21,35,28,27,97,147,0.7577,On Track
2025-07,2025-07-12 16:42:00,School ACGX,SYN-1532-ACGX,District G,District G - Block 004,Yes,Yes,Class 6,Science,37,29,31,30,22,26,16,15,14,83,137,0.8253,On Track
2025-07,2025-07-12 16:59:00,School ACGY,SYN-1533-ACGY,District G,District G - Block 004,Yes,Yes,"Classes 6, 7 and 8",Math and Science,49,37,39,22,19,16,19,15,13,90,139,0.7722,On Track
2025-07,2025-07-12 17:16:00,School ACGZ,SYN-1534-ACGZ,District G,District G - Block 004,No,No,Not conducted,Not applicable,46,0,0,35,0,0,18,0,0,99,0,0.0,Critical
2025-07,2025-07-12 17:33:00,School ACHA,SYN-1535-ACHA,District G,District G - Block 004,Yes,No,Class 6,Math,39,19,20,47,22,17,42,16,20,128,114,0.4453,At Risk
2025-07,2025-07-12 17:50:00,School ACHB,SYN-1536-ACHB,District G,District G - Block 004,Yes,No,"Classes 6, 7 and 8",Math and Science,39,20,23,34,26,26,34,24,27,107,146,0.6822,Behind
2025-07,2025-07-12 18:07:00,School ACJP,SYN-1602-ACJP,District G,District G - Block 005,Yes,Yes,"Classes 6, 7 and 8",Math and Science,36,19,23,48,37,33,34,19,21,118,152,0.6441,Behind
2025-07,2025-07-12 18:24:00,School ACJQ,SYN-1603-ACJQ,District G,District G - Block 005,Yes,No,"Classes 6, 7 and 8",Math and Science,91,51,46,90,46,44,44,25,29,225,241,0.5356,At Risk
2025-07,2025-07-12 18:41:00,School ACJR,SYN-1604-ACJR,District G,District G - Block 005,Yes,Yes,"Classes 6, 7 and 8",Math and Science,66,46,41,65,44,50,65,45,45,196,271,0.6913,Behind
2025-07,2025-07-12 18:58:00,School ACJS,SYN-1605-ACJS,District G,District G - Block 005,Yes,Yes,"Classes 6, 7 and 8",Math and Science,65,43,41,65,39,64,42,41,41,172,269,0.782,On Track
2025-07,2025-07-12 19:15:00,School ACJT,SYN-1606-ACJT,District G,District G - Block 005,Yes,Yes,"Classes 6, 7 and 8",Science,33,18,19,40,4,5,25,5,4,98,55,0.2806,Critical
2025-07,2025-07-12 19:32:00,School ACJU,SYN-1607-ACJU,District G,District G - Block 005,Yes,No,"Classes 6, 7 and 8",Math and Science,22,8,10,18,8,7,15,7,3,55,43,0.3909,At Risk
2025-07,2025-07-12 19:49:00,School ACJV,SYN-1608-ACJV,District G,District G - Block 005,Yes,Yes,Class 8,Math,45,33,34,32,22,21,45,32,29,122,171,0.7008,Behind
2025-07,2025-07-12 20:06:00,School ACJW,SYN-1609-ACJW,District G,District G - Block 005,Yes,No,Class 7,Science,28,19,19,38,19,15,24,11,11,90,94,0.5222,At Risk
2025-07,2025-07-12 20:23:00,School ACJX,SYN-1610-ACJX,District G,District G - Block 005,Yes,Yes,"Classes 6, 7 and 8",Math and Science,21,18,20,24,17,22,19,18,17,64,112,0.875,On Track
2025-07,2025-07-12 20:40:00,School ACJY,SYN-1611-ACJY,District G,District G - Block 005,Yes,Yes,"Classes 6, 7 and 8",Math and Science,18,9,9,12,6,7,14,9,6,44,46,0.5227,At Risk
2025-07,2025-07-12 20:57:00,School ACJZ,SYN-1612-ACJZ,District G,District G - Block 005,Yes,Yes,"Classes 6, 7 and 8",Math and Science,18,9,8,24,9,9,22,12,10,64,57,0.4453,At Risk
2025-07,2025-07-12 21:14:00,School ACKA,SYN-1613-ACKA,District G,District G - Block 005,No,No,Not conducted,Not applicable,53,0,0,70,0,0,47,0,0,170,0,0.0,Critical
2025-07,2025-07-12 21:31:00,School ACKB,SYN-1614-ACKB,District G,District G - Block 005,Yes,Yes,Class 6,Math and Science,12,8,9,13,9,9,5,2,2,30,39,0.65,Behind
2025-07,2025-07-12 21:48:00,School ACLR,SYN-1656-ACLR,District G,District G - Block 006,Yes,Yes,"Classes 6, 7 and 8",Math and Science,17,15,13,14,10,11,8,6,6,39,61,0.7821,On Track
2025-07,2025-07-12 22:05:00,School ACLS,SYN-1657-ACLS,District G,District G - Block 006,Yes,Yes,"Classes 6, 7 and 8",Math and Science,107,50,52,111,71,46,83,44,36,301,299,0.4967,At Risk
2025-07,2025-07-12 22:22:00,School ACLT,SYN-1658-ACLT,District G,District G - Block 006,Yes,Yes,"Classes 6, 7 and 8",Science,133,114,107,105,64,69,105,79,89,343,522,0.7609,On Track
2025-07,2025-07-12 22:39:00,School ACLU,SYN-1659-ACLU,District G,District G - Block 006,Yes,No,"Classes 6, 7 and 8",Math and Science,41,24,26,28,18,18,31,21,23,100,130,0.65,Behind
2025-07,2025-07-12 22:56:00,School ACLV,SYN-1660-ACLV,District G,District G - Block 006,Yes,No,"Classes 6, 7 and 8",Science,99,62,57,100,72,98,109,68,54,308,411,0.6672,Behind
2025-07,2025-07-12 23:13:00,School ACLW,SYN-1661-ACLW,District G,District G - Block 006,Yes,Yes,"Classes 6, 7 and 8",Math and Science,36,25,30,52,36,42,26,18,20,114,171,0.75,On Track
2025-07,2025-07-12 23:30:00,School ACLX,SYN-1662-ACLX,District G,District G - Block 006,Yes,Yes,"Classes 6, 7 and 8",Math and Science,39,27,28,43,28,28,33,24,26,115,161,0.7,Behind
2025-07,2025-07-12 23:47:00,School ACLY,SYN-1663-ACLY,District G,District G - Block 006,Yes,No,"Classes 6, 7 and 8",Math and Science,34,27,29,37,28,33,34,29,25,105,171,0.8143,On Track
2025-07,2025-07-13 00:04:00,School ACLZ,SYN-1664-ACLZ,District G,District G - Block 006,Yes,Yes,"Classes 6, 7 and 8",Math and Science,23,19,17,13,9,9,13,8,8,49,70,0.7143,Behind
2025-07,2025-07-13 00:21:00,School ACMA,SYN-1665-ACMA,District G,District G - Block 006,No,No,Not conducted,Not applicable,44,0,0,35,0,0,32,0,0,111,0,0.0,Critical
2025-07,2025-07-13 00:38:00,School ACMB,SYN-1666-ACMB,District G,District G - Block 006,Yes,Yes,"Classes 6, 7 and 8",Math and Science,19,14,14,23,19,17,13,8,10,55,82,0.7455,Behind
2025-07,2025-07-13 00:55:00,School ACMC,SYN-1667-ACMC,District G,District G - Block 006,Yes,Yes,"Classes 6, 7 and 8",Math and Science,16,11,12,30,18,20,30,21,18,76,100,0.6579,Behind
2025-07,2025-07-13 01:12:00,School ACMD,SYN-1668-ACMD,District G,District G - Block 006,Yes,Yes,"Classes 6, 7 and 8",Math,13,9,8,12,8,7,26,19,20,51,71,0.6961,Behind
2025-07,2025-07-13 01:29:00,School ACME,SYN-1669-ACME,District G,District G - Block 006,Yes,No,Class 6,Science,29,20,20,29,18,18,21,17,16,79,109,0.6899,Behind
2025-07,2025-07-13 01:46:00,School ACKL,SYN-1624-ACKL,District G,District G - Block 007,Yes,No,Class 6,Math,74,51,56,71,51,43,77,49,46,222,296,0.6667,Behind
2025-07,2025-07-13 02:03:00,School ACKM,SYN-1625-ACKM,District G,District G - Block 007,Yes,Yes,Class 7,Math and Science,43,29,27,40,31,31,40,32,30,123,180,0.7317,Behind
2025-07,2025-07-13 02:20:00,School ACKN,SYN-1626-ACKN,District G,District G - Block 007,Yes,Yes,"Classes 6, 7 and 8",Math and Science,42,24,24,38,22,20,40,20,21,120,131,0.5458,At Risk
2025-07,2025-07-13 02:37:00,School ACKO,SYN-1627-ACKO,District G,District G - Block 007,No,No,Not conducted,Not applicable,28,0,0,40,0,0,37,0,0,105,0,0.0,Critical
2025-07,2025-07-13 02:54:00,School ACKP,SYN-1628-ACKP,District G,District G - Block 007,Yes,Yes,"Classes 6, 7 and 8",Math and Science,42,26,27,62,35,28,51,29,33,155,178,0.5742,At Risk
2025-07,2025-07-13 03:11:00,School ACKQ,SYN-1629-ACKQ,District G,District G - Block 007,Yes,Yes,"Classes 6, 7 and 8",Math and Science,61,31,34,54,30,29,18,11,12,133,147,0.5526,At Risk
2025-07,2025-07-13 03:28:00,School ACKS,SYN-1631-ACKS,District G,District G - Block 007,Yes,Yes,Classes 7 and 8,Science,39,25,20,47,30,30,44,24,17,130,146,0.5615,At Risk
2025-07,2025-07-13 03:45:00,School ACKT,SYN-1632-ACKT,District G,District G - Block 007,Yes,Yes,Class 7,Science,63,33,37,50,27,26,53,26,29,166,178,0.5361,At Risk
2025-07,2025-07-13 04:02:00,School ACKU,SYN-1633-ACKU,District G,District G - Block 007,No,No,Not conducted,Not applicable,58,0,0,42,0,0,47,0,0,147,0,0.0,Critical
2025-07,2025-07-13 04:19:00,School ACKV,SYN-1634-ACKV,District G,District G - Block 007,No,No,Not conducted,Not applicable,41,0,0,46,0,0,41,0,0,128,0,0.0,Critical
2025-07,2025-07-13 04:36:00,School ACKW,SYN-1635-ACKW,District G,District G - Block 007,No,No,Not conducted,Not applicable,17,0,0,30,0,0,20,0,0,67,0,0.0,Critical
2025-07,2025-07-13 04:53:00,School ACKX,SYN-1636-ACKX,District G,District G - Block 007,Yes,Yes,Class 8,Math,92,53,64,93,58,65,104,62,62,289,364,0.6298,Behind
2025-07,2025-07-13 05:10:00,School ACKY,SYN-1637-ACKY,District G,District G - Block 007,No,No,Not conducted,Not applicable,8,0,0,13,0,0,11,0,0,32,0,0.0,Critical
2025-07,2025-07-13 05:27:00,School ACKZ,SYN-1638-ACKZ,District G,District G - Block 007,Yes,Yes,"Classes 6, 7 and 8",Math and Science,29,16,18,37,20,21,37,19,20,103,114,0.5534,At Risk
2025-07,2025-07-13 05:44:00,School ACLA,SYN-1639-ACLA,District G,District G - Block 007,Yes,Yes,"Classes 6, 7 and 8",Math and Science,28,18,17,23,16,14,21,15,13,72,93,0.6458,Behind
2025-07,2025-07-13 06:01:00,School ACLB,SYN-1640-ACLB,District G,District G - Block 007,Yes,No,"Classes 6, 7 and 8",Math and Science,51,26,34,73,32,33,47,30,30,171,185,0.5409,At Risk
2025-07,2025-07-13 06:18:00,School ACLC,SYN-1641-ACLC,District G,District G - Block 007,No,No,Not conducted,Not applicable,69,0,0,54,0,0,50,0,0,173,0,0.0,Critical
2025-07,2025-07-13 06:35:00,School ACLD,SYN-1642-ACLD,District G,District G - Block 007,Yes,Yes,"Classes 6, 7 and 8",Science,25,15,11,26,22,15,31,24,18,82,105,0.6402,Behind
2025-07,2025-07-13 06:52:00,School ACLE,SYN-1643-ACLE,District G,District G - Block 007,Yes,No,Class 6,Math and Science,22,9,7,13,5,5,13,7,8,48,41,0.4271,At Risk
2025-07,2025-07-13 07:09:00,School ACLF,SYN-1644-ACLF,District G,District G - Block 007,Yes,Yes,"Classes 6, 7 and 8",Math and Science,18,12,15,31,20,22,20,15,17,69,101,0.7319,Behind
2025-07,2025-07-13 07:26:00,School ACHC,SYN-1537-ACHC,District G,District G - Block 008,Yes,Yes,Class 6,Math and Science,48,32,29,49,30,31,52,38,34,149,194,0.651,Behind
2025-07,2025-07-13 07:43:00,School ACHD,SYN-1538-ACHD,District G,District G - Block 008,Yes,Yes,"Classes 6, 7 and 8",Math and Science,20,11,12,21,17,14,8,5,4,49,63,0.6429,Behind
2025-07,2025-07-13 08:00:00,School ACHE,SYN-1539-ACHE,District G,District G - Block 008,Yes,Yes,"Classes 6, 7 and 8",Math and Science,45,24,26,57,32,38,50,38,31,152,189,0.6217,Behind
2025-07,2025-07-13 08:17:00,School ACHF,SYN-1540-ACHF,District G,District G - Block 008,Yes,Yes,"Classes 6, 7 and 8",Science,62,39,35,71,39,32,74,46,50,207,241,0.5821,At Risk
2025-07,2025-07-13 08:34:00,School ACHG,SYN-1541-ACHG,District G,District G - Block 008,Yes,Yes,"Classes 6, 7 and 8",Math and Science,31,22,22,19,14,11,19,13,9,69,91,0.6594,Behind
2025-07,2025-07-13 08:51:00,School ACHH,SYN-1542-ACHH,District G,District G - Block 008,Yes,No,"Classes 6, 7 and 8",Science,14,8,9,14,12,8,22,13,10,50,60,0.6,Behind
2025-07,2025-07-13 09:08:00,School ACHI,SYN-1543-ACHI,District G,District G - Block 008,Yes,Yes,"Classes 6, 7 and 8",Math and Science,24,16,14,21,13,9,32,16,14,77,82,0.5325,At Risk
2025-07,2025-07-13 09:25:00,School ACHJ,SYN-1544-ACHJ,District G,District G - Block 008,Yes,No,"Classes 6, 7 and 8",Math and Science,10,6,5,11,7,7,8,6,7,29,38,0.6552,Behind
2025-07,2025-07-13 09:42:00,School ACHK,SYN-1545-ACHK,District G,District G - Block 008,Yes,Yes,"Classes 6, 7 and 8",Science,23,15,12,24,16,11,17,10,10,64,74,0.5781,At Risk
2025-07,2025-07-13 09:59:00,School ACHL,SYN-1546-ACHL,District G,District G - Block 008,Yes,Yes,Class 6,Math and Science,28,18,18,31,24,20,31,24,24,90,128,0.7111,Behind
2025-07,2025-07-13 10:16:00,School ACHM,SYN-1547-ACHM,District G,District G - Block 008,Yes,Yes,"Classes 6, 7 and 8",Math and Science,29,23,20,38,28,27,35,25,25,102,148,0.7255,Behind
2025-07,2025-07-13 10:33:00,School ACHN,SYN-1548-ACHN,District G,District G - Block 008,Yes,Yes,"Classes 6, 7 and 8",Math and Science,23,23,23,18,18,18,25,24,24,66,130,0.9848,On Track
2025-07,2025-07-13 10:50:00,School ACHO,SYN-1549-ACHO,District G,District G - Block 008,Yes,No,"Classes 6, 7 and 8",Math and Science,67,40,43,62,34,35,65,32,45,194,229,0.5902,At Risk
2025-07,2025-07-13 11:07:00,School ACHP,SYN-1550-ACHP,District G,District G - Block 008,Yes,Yes,"Classes 6, 7 and 8",Math and Science,31,15,14,34,20,17,16,10,11,81,87,0.537,At Risk
2025-07,2025-07-13 11:24:00,School ACHQ,SYN-1551-ACHQ,District G,District G - Block 008,Yes,Yes,"Classes 6, 7 and 8",Math and Science,59,46,44,69,37,42,52,31,37,180,237,0.6583,Behind
2025-07,2025-07-13 11:41:00,School ACHR,SYN-1552-ACHR,District G,District G - Block 008,Yes,Yes,Class 6,Science,13,7,8,14,9,8,15,8,9,42,49,0.5833,At Risk
2025-07,2025-07-13 11:58:00,School ACIY,SYN-1585-ACIY,District G,District G - Block 009,No,No,Not conducted,Not applicable,92,0,0,85,0,0,89,0,0,266,0,0.0,Critical
2025-07,2025-07-13 12:15:00,School ACIZ,SYN-1586-ACIZ,District G,District G - Block 009,No,No,Not conducted,Not applicable,23,0,0,47,0,0,35,0,0,105,0,0.0,Critical
2025-07,2025-07-13 12:32:00,School ACJA,SYN-1587-ACJA,District G,District G - Block 009,Yes,No,Class 7,Science,16,13,11,20,16,11,16,13,7,52,71,0.6827,Behind
2025-07,2025-07-13 12:49:00,School ACJB,SYN-1588-ACJB,District G,District G - Block 009,Yes,No,"Classes 6, 7 and 8",Math and Science,28,21,23,25,20,20,33,28,25,86,137,0.7965,On Track
2025-07,2025-07-13 13:06:00,School ACJC,SYN-1589-ACJC,District G,District G - Block 009,Yes,Yes,"Classes 6, 7 and 8",Math and Science,37,21,23,45,24,25,39,24,27,121,144,0.595,At Risk
2025-07,2025-07-13 13:23:00,School ACJD,SYN-1590-ACJD,District G,District G - Block 009,Yes,Yes,Class 6,Math,22,13,14,17,8,9,11,5,6,50,55,0.55,At Risk
2025-07,2025-07-13 13:40:00,School ACJE,SYN-1591-ACJE,District G,District G - Block 009,Yes,Yes,"Classes 6, 7 and 8",Math and Science,31,15,12,18,8,10,19,15,13,68,73,0.5368,At Risk
2025-07,2025-07-13 13:57:00,School ACJF,SYN-1592-ACJF,District G,District G - Block 009,Yes,No,Class 6,Math and Science,74,50,51,70,53,47,75,56,74,219,331,0.7557,On Track
2025-07,2025-07-13 14:14:00,School ACJG,SYN-1593-ACJG,District G,District G - Block 009,Yes,Yes,"Classes 6, 7 and 8",Math and Science,38,28,32,26,22,19,33,28,27,97,156,0.8041,On Track
2025-07,2025-07-13 14:31:00,School ACJH,SYN-1594-ACJH,District G,District G - Block 009,Yes,Yes,"Classes 6, 7 and 8",Math and Science,24,21,18,15,11,11,26,19,19,65,99,0.7615,On Track
2025-07,2025-07-13 14:48:00,School ACJI,SYN-1595-ACJI,District G,District G - Block 009,Yes,Yes,Class 6,Math and Science,20,12,11,17,11,13,23,16,16,60,79,0.6583,Behind
2025-07,2025-07-13 15:05:00,School ACJJ,SYN-1596-ACJJ,District G,District G - Block 009,Yes,No,"Classes 6, 7 and 8",Math and Science,7,4,3,6,2,2,7,3,3,20,17,0.425,At Risk
2025-07,2025-07-13 15:22:00,School ACJK,SYN-1597-ACJK,District G,District G - Block 009,Yes,No,"Classes 6, 7 and 8",Math and Science,55,36,37,36,27,24,32,20,21,123,165,0.6707,Behind
2025-07,2025-07-13 15:39:00,School ACJM,SYN-1599-ACJM,District G,District G - Block 009,No,No,Not conducted,Not applicable,28,0,0,37,0,0,13,0,0,78,0,0.0,Critical
2025-07,2025-07-13 15:56:00,School AAJW,SYN-257-AAJW,District G,District G - Block 010,Yes,Yes,"Classes 6, 7 and 8",Math and Science,16,8,8,22,15,10,10,5,7,48,53,0.5521,At Risk
2025-07,2025-07-13 16:13:00,School ACJL,SYN-1598-ACJL,District G,District G - Block 010,Yes,Yes,"Classes 6, 7 and 8",Math and Science,24,13,14,10,6,7,17,9,11,51,60,0.5882,At Risk
2025-07,2025-07-13 16:30:00,School ACJN,SYN-1600-ACJN,District G,District G - Block 010,Yes,No,Class 6,Science,21,12,8,15,8,8,13,9,9,49,54,0.551,At Risk
2025-07,2025-07-13 16:47:00,School ACJO,SYN-1601-ACJO,District G,District G - Block 010,No,No,Not conducted,Not applicable,109,0,0,119,0,0,83,0,0,311,0,0.0,Critical
2025-07,2025-07-13 17:04:00,School ACLG,SYN-1645-ACLG,District G,District G - Block 011,Yes,Yes,Class 6,Math and Science,46,24,23,34,17,16,43,23,22,123,125,0.5081,At Risk
2025-07,2025-07-13 17:21:00,School ACLH,SYN-1646-ACLH,District G,District G - Block 011,Yes,Yes,Class 7,Science,23,13,12,15,11,8,27,16,14,65,74,0.5692,At Risk
